Gemeenten,Allochtonen niet-westers|2010,Allochtonen niet-westers|2014,Allochtonen niet-westers|2018
Waalwijk,3341,3459,3980
Waddinxveen,1759,1945,2396
Wageningen,5262,4466,4760
Wassenaar,2180,2397,2931
Waterland,579,692,882
Weert,4228,4415,5301
Weesp,2342,2627,2984
West Betuwe,1411,1550,1913
West Maas en Waal,269,326,472
Westerkwartier,1139,1306,1778
Westerveld,344,334,386
Westervoort,1016,1148,1284
Westerwolde,597,538,761
Westland,4638,5391,6543
Weststellingwerf,739,759,930
Westvoorne,377,468,605
Wierden,429,498,619
Wijchen,1536,1681,1937
Wijdemeren,749,885,1126
Wijk bij Duurstede,956,1032,1229
Winterswijk,1464,1530,1831
Woensdrecht,535,602,758
Woerden,3148,3562,4169
Wormerland,787,898,1071
Woudenberg,425,485,671
Zaanstad,25167,28535,32578
Zaltbommel,1302,1423,1604
Zandvoort,999,1146,1396
Zeewolde,873,956,1421
Zeist,7212,7928,8812
Zevenaar,1551,1651,1920
Zoetermeer,20916,23046,25141
Zoeterwoude,327,367,488
Zuidplas,2421,2755,3384
Zundert,487,564,700
Zutphen,3210,3458,4240
Zwartewaterland,328,371,541
Zwijndrecht,5072,5559,6296
Zwolle,10565,11206,12599
